timestamp,duration,protocol,sourceIP,sourcePort,destinationIP,destinationPort,stream_ID
2012/12/01 13:15:52.405671,0.0,tcp,205.160.68.231,35554,204.193.94.221,62886,83
2012/12/01 13:35:15.048249,0.0,tcp,153.217.92.157,1260,168.34.48.9,25,295
2012/12/01 13:35:15.424970,0.0,tcp,153.217.92.157,1264,126.76.74.188,25,298
2012/12/01 13:35:15.648088,0.0,tcp,153.217.92.157,1261,167.185.60.14,25,303
2012/12/01 13:35:34.015877,0.0,tcp,153.217.92.157,1386,123.212.152.48,25,306
2012/12/01 13:35:34.149465,0.0,tcp,153.217.92.157,1382,154.107.244.226,25,311
2012/12/01 13:38:01.038682,0.0,tcp,153.217.92.157,2001,193.19.247.220,25,403
2012/12/01 13:38:01.137046,0.0,tcp,153.217.92.157,1999,188.136.112.242,25,404
2012/12/01 13:38:01.324164,0.0,tcp,153.217.92.157,2002,133.52.90.81,25,407
2012/12/01 13:38:01.433957,0.0,tcp,153.217.92.157,2004,209.222.90.69,25,409
2012/12/01 13:38:34.239263,0.0,tcp,153.217.92.157,2167,149.117.172.234,25,426
2012/12/01 13:39:40.096963,0.0,tcp,153.217.92.157,2523,161.42.138.113,25,481
2012/12/01 13:39:40.386412,0.0,tcp,153.217.92.157,2525,206.120.138.110,25,484
2012/12/01 13:40:29.078843,0.0,tcp,153.217.92.157,2743,240.206.50.59,25,525
2012/12/01 13:41:02.900212,0.0,tcp,153.217.92.157,2868,202.86.226.14,25,552
2012/12/01 13:41:09.944696,0.0,tcp,153.217.92.157,2891,129.40.124.205,25,555
2012/12/01 13:45:13.932332,0.0,tcp,153.217.92.157,3246,188.55.236.2,25,701
2012/12/01 13:45:41.944398,0.0,tcp,153.217.92.157,3285,226.22.50.107,25,716
2012/12/01 13:46:36.964730,0.0,tcp,153.217.92.157,3564,207.98.200.131,25,758
2012/12/01 13:46:48.896223,0.0,tcp,153.217.92.157,3684,178.41.35.24,25,765
2012/12/01 13:49:15.032455,0.0,tcp,153.217.92.157,4422,123.71.2.97,25,868
2012/12/01 13:49:15.558920,0.0,tcp,153.217.92.157,4424,124.166.46.194,25,879
2012/12/01 13:49:58.037666,0.0,tcp,153.217.92.157,4591,172.173.165.171,25,908
2012/12/01 13:49:58.200483,0.0,tcp,153.217.92.157,4593,174.197.242.182,25,912
2012/12/01 13:50:52.009664,0.0,tcp,153.217.92.157,4886,202.240.12.5,25,956
2012/12/01 13:50:52.026700,0.0,tcp,153.217.92.157,4890,191.110.61.94,25,957
2012/12/01 13:50:52.307870,0.0,tcp,153.217.92.157,4888,147.160.38.210,25,958
2012/12/01 13:51:46.222822,0.0,tcp,153.217.92.157,1250,192.112.220.3,25,1013
2012/12/01 13:51:46.382938,0.0,tcp,153.217.92.157,1254,186.134.249.21,25,1019
2012/12/01 13:53:57.877617,0.0,tcp,153.217.92.157,1632,122.207.17.3,25,1063
2012/12/01 13:53:57.888071,0.0,tcp,153.217.92.157,1631,167.206.147.95,25,1065
2012/12/01 13:53:57.909007,0.0,tcp,153.217.92.157,1638,138.63.149.182,25,1067
2012/12/01 13:55:12.975604,0.0,tcp,153.217.92.157,1992,225.221.168.93,25,1123
2012/12/01 13:56:21.352226,0.0,tcp,153.217.92.157,2107,164.57.201.97,25,1165
2012/12/01 13:58:31.971120,0.0,tcp,153.217.92.157,2719,188.55.236.2,25,1252
2012/12/01 13:58:38.877493,0.0,tcp,153.217.92.157,2833,194.92.66.5,25,1254
2012/12/01 13:59:12.111103,0.0,tcp,153.217.92.157,3001,234.24.40.234,25,1285
2012/12/01 14:00:44.033203,0.0,tcp,153.217.92.157,3385,237.18.140.7,25,1349
2012/12/01 14:00:44.684946,0.0,tcp,153.217.92.157,3391,184.236.230.2,25,1360
2012/12/01 14:01:50.911751,0.0,tcp,153.217.92.157,3764,199.126.10.54,25,1415
2012/12/01 14:02:11.927085,0.0,tcp,153.217.92.157,3833,218.126.201.113,25,1428
2012/12/01 14:04:03.408605,0.0,tcp,153.217.92.157,4310,237.18.140.7,25,1500
2012/12/01 14:04:46.248764,0.0,tcp,153.217.92.157,4436,226.22.50.107,25,1542
2012/12/01 14:05:06.951144,0.0,tcp,153.217.92.157,4472,125.12.77.5,25,1552
2012/12/01 14:05:07.023700,0.0,tcp,153.217.92.157,4475,192.48.26.36,25,1555
2012/12/01 14:05:19.123186,0.0,tcp,153.217.92.157,4595,133.22.244.206,25,1564
2012/12/01 14:05:19.286568,0.0,tcp,153.217.92.157,4590,135.78.193.9,25,1567
2012/12/01 14:07:07.875029,0.0,tcp,153.217.92.157,1108,135.78.193.9,25,1636
2012/12/01 14:07:08.044513,0.0,tcp,153.217.92.157,1115,158.56.215.116,25,1643
2012/12/01 14:07:08.077136,0.0,tcp,153.217.92.157,1111,163.45.157.19,25,1646
2012/12/01 14:07:41.015579,0.0,tcp,153.217.92.157,1245,160.46.104.130,25,1667
2012/12/01 14:08:01.998817,0.0,tcp,153.217.92.157,1264,144.138.201.81,25,1690
2012/12/01 14:09:11.039799,0.0,tcp,153.217.92.157,1603,123.71.2.97,25,1736
2012/12/01 14:09:11.141581,0.0,tcp,153.217.92.157,1602,143.96.38.12,25,1739
2012/12/01 14:09:43.901608,0.0,tcp,153.217.92.157,1840,123.71.2.97,25,1767
2012/12/01 14:09:44.061354,0.0,tcp,153.217.92.157,1837,161.44.201.41,25,1770
2012/12/01 14:12:39.882454,0.0,tcp,153.217.92.157,2381,123.93.77.87,25,1874
2012/12/01 14:12:39.930069,0.0,tcp,153.217.92.157,2383,239.67.49.3,25,1875
2012/12/01 14:12:40.024517,0.0,tcp,153.217.92.157,2337,123.93.77.87,25,1880
2012/12/01 14:12:40.197252,0.0,tcp,153.217.92.157,2278,145.102.77.89,25,1888
2012/12/01 14:12:40.312651,0.0,tcp,153.217.92.157,2384,145.102.77.89,25,1890
2012/12/01 14:12:40.419449,0.0,tcp,153.217.92.157,2333,213.58.10.54,25,1894
2012/12/01 14:14:57.926113,0.0,tcp,153.217.92.157,2979,183.163.183.4,25,2012
2012/12/01 14:14:57.992484,0.0,tcp,153.217.92.157,2983,133.95.18.143,25,2013
2012/12/01 14:17:51.930361,0.0,tcp,153.217.92.157,3750,209.107.126.14,25,2539
2012/12/01 14:17:52.109983,0.0,tcp,153.217.92.157,3748,123.34.80.14,25,2546
2012/12/01 14:17:52.112277,0.0,tcp,153.217.92.157,3747,190.208.50.91,25,2547
2012/12/01 14:19:09.022088,0.0,tcp,153.217.92.157,3978,206.138.119.129,25,2614
2012/12/01 14:20:01.898964,0.0,tcp,153.217.92.157,4246,201.113.64.236,25,2661
2012/12/01 14:20:15.891865,0.0,tcp,153.217.92.157,4335,201.113.64.236,25,2676
2012/12/01 14:20:43.915707,0.0,tcp,153.217.92.157,4462,235.82.188.142,25,2701
2012/12/01 14:20:43.920235,0.0,tcp,153.217.92.157,4461,205.25.20.241,25,2702
2012/12/01 14:20:43.946237,0.0,tcp,153.217.92.157,4458,207.39.90.57,25,2703
2012/12/01 14:20:44.075245,0.0,tcp,153.217.92.157,4467,205.45.19.42,25,2710
2012/12/01 14:21:17.660618,0.0,tcp,153.217.92.157,4659,202.86.226.14,25,2741
2012/12/01 14:21:30.941286,0.0,tcp,153.217.92.157,4678,145.102.77.89,25,2752
2012/12/01 14:21:59.479625,0.0,tcp,153.217.92.157,4813,226.22.50.107,25,2778
2012/12/01 14:22:51.510427,0.0,tcp,205.160.68.231,13743,221.238.94.43,53010,2822
2012/12/01 14:23:14.892654,0.0,tcp,153.217.92.157,1219,168.34.48.9,25,2834
2012/12/01 14:23:14.935813,0.0,tcp,153.217.92.157,1221,123.47.108.92,25,2835
2012/12/01 14:24:28.917855,0.0,tcp,153.217.92.157,1499,166.154.144.59,25,2884
2012/12/01 14:24:29.339432,0.0,tcp,153.217.92.157,1500,135.213.16.88,25,2891
2012/12/01 14:24:29.390537,0.0,tcp,153.217.92.157,1503,236.155.220.2,25,2894
2012/12/01 14:24:43.053392,0.0,tcp,153.217.92.157,1537,167.206.147.95,25,2909
2012/12/01 14:25:11.885419,0.0,tcp,153.217.92.157,1660,240.206.50.59,25,2930
