timestamp,duration,protocol,sourceIP,sourcePort,destinationIP,destinationPort,stream_ID
2012/12/01 13:35:15.048249,0.0,tcp,153.217.92.157,1260,168.34.48.9,25,295
2012/12/01 13:35:34.015877,0.0,tcp,153.217.92.157,1386,123.212.152.48,25,306
2012/12/01 13:38:01.433957,0.0,tcp,153.217.92.157,2004,209.222.90.69,25,409
2012/12/01 13:38:34.239263,0.0,tcp,153.217.92.157,2167,149.117.172.234,25,426
2012/12/01 13:39:40.096963,0.0,tcp,153.217.92.157,2523,161.42.138.113,25,481
2012/12/01 13:39:40.386412,0.0,tcp,153.217.92.157,2525,206.120.138.110,25,484
2012/12/01 13:40:29.078843,0.0,tcp,153.217.92.157,2743,240.206.50.59,25,525
2012/12/01 13:41:02.900212,0.0,tcp,153.217.92.157,2868,202.86.226.14,25,552
2012/12/01 13:45:41.893089,0.0,tcp,153.217.92.157,3290,220.209.105.155,25,715
2012/12/01 13:46:36.964730,0.0,tcp,153.217.92.157,3564,207.98.200.131,25,758
2012/12/01 13:46:48.896223,0.0,tcp,153.217.92.157,3684,178.41.35.24,25,765
2012/12/01 13:49:15.032455,0.0,tcp,153.217.92.157,4422,123.71.2.97,25,868
2012/12/01 13:49:15.558920,0.0,tcp,153.217.92.157,4424,124.166.46.194,25,879
2012/12/01 13:49:58.037666,0.0,tcp,153.217.92.157,4591,172.173.165.171,25,908
2012/12/01 13:49:58.200483,0.0,tcp,153.217.92.157,4593,174.197.242.182,25,912
2012/12/01 13:51:46.222822,0.0,tcp,153.217.92.157,1250,192.112.220.3,25,1013
2012/12/01 13:53:57.877617,0.0,tcp,153.217.92.157,1632,122.207.17.3,25,1063
2012/12/01 13:53:57.909007,0.0,tcp,153.217.92.157,1638,138.63.149.182,25,1067
2012/12/01 13:55:12.993888,0.0,tcp,153.217.92.157,1989,164.57.201.97,25,1124
2012/12/01 13:56:21.352226,0.0,tcp,153.217.92.157,2107,164.57.201.97,25,1165
2012/12/01 13:58:23.880435,0.0,tcp,153.217.92.157,2717,226.22.50.107,25,1249
2012/12/01 13:58:31.971120,0.0,tcp,153.217.92.157,2719,188.55.236.2,25,1252
2012/12/01 13:58:38.877493,0.0,tcp,153.217.92.157,2833,194.92.66.5,25,1254
2012/12/01 13:59:12.111103,0.0,tcp,153.217.92.157,3001,234.24.40.234,25,1285
2012/12/01 14:00:44.033203,0.0,tcp,153.217.92.157,3385,237.18.140.7,25,1349
2012/12/01 14:00:44.684946,0.0,tcp,153.217.92.157,3391,184.236.230.2,25,1360
2012/12/01 14:01:50.911751,0.0,tcp,153.217.92.157,3764,199.126.10.54,25,1415
2012/12/01 14:02:11.927085,0.0,tcp,153.217.92.157,3833,218.126.201.113,25,1428
2012/12/01 14:04:03.408605,0.0,tcp,153.217.92.157,4310,237.18.140.7,25,1500
2012/12/01 14:05:06.951144,0.0,tcp,153.217.92.157,4472,125.12.77.5,25,1552
2012/12/01 14:07:07.875029,0.0,tcp,153.217.92.157,1108,135.78.193.9,25,1636
2012/12/01 14:07:08.077136,0.0,tcp,153.217.92.157,1111,163.45.157.19,25,1646
2012/12/01 14:07:41.015579,0.0,tcp,153.217.92.157,1245,160.46.104.130,25,1667
2012/12/01 14:08:01.998817,0.0,tcp,153.217.92.157,1264,144.138.201.81,25,1690
2012/12/01 14:09:11.141581,0.0,tcp,153.217.92.157,1602,143.96.38.12,25,1739
2012/12/01 14:09:43.901608,0.0,tcp,153.217.92.157,1840,123.71.2.97,25,1767
2012/12/01 14:09:44.061354,0.0,tcp,153.217.92.157,1837,161.44.201.41,25,1770
2012/12/01 14:12:39.930069,0.0,tcp,153.217.92.157,2383,239.67.49.3,25,1875
2012/12/01 14:12:40.024517,0.0,tcp,153.217.92.157,2337,123.93.77.87,25,1880
2012/12/01 14:12:40.150565,0.0,tcp,153.217.92.157,2268,123.93.77.87,25,1886
2012/12/01 14:12:40.197252,0.0,tcp,153.217.92.157,2278,145.102.77.89,25,1888
2012/12/01 14:12:40.312651,0.0,tcp,153.217.92.157,2384,145.102.77.89,25,1890
2012/12/01 14:12:40.339897,0.0,tcp,153.217.92.157,2285,123.93.77.87,25,1891
2012/12/01 14:14:57.926113,0.0,tcp,153.217.92.157,2979,183.163.183.4,25,2012
2012/12/01 14:14:57.992484,0.0,tcp,153.217.92.157,2983,133.95.18.143,25,2013
2012/12/01 14:17:12.866388,0.0,udp,132.200.95.181,7600,146.56.203.54,45206,2412
2012/12/01 14:17:52.109983,0.0,tcp,153.217.92.157,3748,123.34.80.14,25,2546
2012/12/01 14:17:52.112277,0.0,tcp,153.217.92.157,3747,190.208.50.91,25,2547
2012/12/01 14:17:52.113828,0.0,tcp,153.217.92.157,3754,167.206.147.95,25,2548
2012/12/01 14:19:09.022088,0.0,tcp,153.217.92.157,3978,206.138.119.129,25,2614
2012/12/01 14:20:15.891865,0.0,tcp,153.217.92.157,4335,201.113.64.236,25,2676
2012/12/01 14:20:43.915707,0.0,tcp,153.217.92.157,4462,235.82.188.142,25,2701
2012/12/01 14:20:43.920235,0.0,tcp,153.217.92.157,4461,205.25.20.241,25,2702
2012/12/01 14:20:44.075245,0.0,tcp,153.217.92.157,4467,205.45.19.42,25,2710
2012/12/01 14:21:16.903295,0.0,tcp,153.217.92.157,4661,123.93.77.87,25,2725
2012/12/01 14:21:30.941286,0.0,tcp,153.217.92.157,4678,145.102.77.89,25,2752
2012/12/01 14:21:59.479625,0.0,tcp,153.217.92.157,4813,226.22.50.107,25,2778
2012/12/01 14:22:51.510427,0.0,tcp,205.160.68.231,13743,221.238.94.43,53010,2822
2012/12/01 14:23:14.892654,0.0,tcp,153.217.92.157,1219,168.34.48.9,25,2834
2012/12/01 14:23:14.935813,0.0,tcp,153.217.92.157,1221,123.47.108.92,25,2835
2012/12/01 14:24:28.917855,0.0,tcp,153.217.92.157,1499,166.154.144.59,25,2884
2012/12/01 14:24:43.053392,0.0,tcp,153.217.92.157,1537,167.206.147.95,25,2909
2012/12/01 14:25:40.158657,0.0,tcp,153.217.92.157,1791,154.128.18.101,25,2952
2012/12/01 14:25:40.323015,0.0,tcp,153.217.92.157,1788,166.215.18.77,25,2956
2012/12/01 14:25:40.362306,0.0,tcp,153.217.92.157,1787,199.80.158.151,25,2957
2012/12/01 14:26:52.873608,0.0,tcp,153.217.92.157,2112,164.57.201.97,25,3015
2012/12/01 14:26:52.953629,0.0,tcp,153.217.92.157,2116,227.17.197.224,25,3016
2012/12/01 14:26:53.047237,0.0,tcp,153.217.92.157,2118,226.22.50.107,25,3017
2012/12/01 14:26:53.295637,0.0,tcp,153.217.92.157,2119,137.159.105.123,25,3018
2012/12/01 14:26:53.321667,0.0,tcp,153.217.92.157,2117,190.208.50.91,25,3019
2012/12/01 14:26:53.468949,0.0,tcp,153.217.92.157,2114,218.126.201.113,25,3020
2012/12/01 14:26:53.476687,0.0,tcp,153.217.92.157,2115,188.55.236.2,25,3021
2012/12/01 14:27:26.497749,0.0,tcp,153.217.92.157,2248,188.55.236.2,25,3040
2012/12/01 14:27:26.524153,0.0,tcp,153.217.92.157,2217,167.206.147.95,25,3041
2012/12/01 14:27:26.539002,0.0,tcp,153.217.92.157,2168,188.55.236.2,25,3042
2012/12/01 14:27:26.552155,0.0,tcp,153.217.92.157,2249,167.206.147.95,25,3043
2012/12/01 14:27:32.674490,0.0009720000000000001,udp,134.32.29.132,30684,230.72.91.222,13363,3056
2012/12/01 14:27:46.989905,0.0,tcp,153.217.92.157,2376,192.25.94.100,25,3062
2012/12/01 14:27:47.263090,0.0,tcp,153.217.92.157,2372,231.95.163.244,25,3063
2012/12/01 14:27:47.439189,0.0,tcp,153.217.92.157,2373,237.63.167.188,25,3064
2012/12/01 14:27:47.543093,0.0,tcp,153.217.92.157,2375,181.84.60.97,25,3067
2012/12/01 14:28:08.527206,0.0,tcp,153.217.92.157,2495,153.127.18.116,25,3082
2012/12/01 14:28:20.871007,0.0,tcp,153.217.92.157,2609,157.223.13.5,25,3084
2012/12/01 14:28:20.892134,0.0,tcp,153.217.92.157,2616,157.223.13.5,25,3086
2012/12/01 14:28:21.293075,0.0,tcp,153.217.92.157,2615,167.153.13.42,25,3090
2012/12/01 14:29:10.305391,0.0,tcp,153.217.92.157,2709,142.17.24.100,25,3132
2012/12/01 14:29:15.916547,6.334309999999999,udp,132.200.95.181,31037,197.180.128.162,61913,3134
2012/12/01 14:29:23.916824,0.0,tcp,153.217.92.157,2834,222.126.28.62,25,3135
2012/12/01 14:29:23.970175,0.0,tcp,153.217.92.157,2811,167.206.147.95,25,3139
2012/12/01 14:29:24.024505,0.0,tcp,153.217.92.157,2830,188.55.236.2,25,3144
2012/12/01 14:29:24.083083,0.0,tcp,153.217.92.157,2753,188.55.236.2,25,3145
2012/12/01 14:29:24.494880,0.0,tcp,153.217.92.157,2833,135.78.193.9,25,3159
2012/12/01 14:29:38.202330,0.000265,udp,153.193.91.29,57349,125.189.87.2,53,3177
2012/12/01 14:29:45.208383,0.0,tcp,153.217.92.157,2847,130.25.17.2,25,3191
2012/12/01 14:29:52.527138,0.0,tcp,153.217.92.157,2850,124.184.133.73,25,3194
2012/12/01 14:29:52.532223,0.0,tcp,153.217.92.157,2851,151.203.137.139,25,3195
